Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
607,Dennis Smith Jr.\smithde03,PG,21,TOT,53,50,1508,6.6,15.5,.428,1.6,5.0,.322,5.0,10.6,.477,2.4,3.7,.635,0.8,2.9,3.7,6.0,1.6,0.5,3.7,3.1,17.2
608,Dennis Smith Jr.\smithde03,PG,21,DAL,32,32,908,6.2,14.2,.440,1.7,5.0,.344,4.5,9.2,.491,2.3,3.3,.695,0.7,3.1,3.8,5.5,1.6,0.4,4.0,3.3,16.4
609,Dennis Smith Jr.\smithde03,PG,21,NYK,21,18,600,7.3,17.6,.413,1.4,5.0,.289,5.8,12.6,.462,2.5,4.4,.568,0.8,2.6,3.5,6.8,1.6,0.5,3.2,2.8,18.5
610,Ish Smith\smithis01,PG,30,DET,56,0,1251,5.9,14.1,.419,1.3,3.9,.326,4.6,10.2,.455,1.4,1.8,.758,0.7,3.5,4.2,5.8,0.8,0.3,1.8,3.1,14.4
611,J.R. Smith\smithjr01,SG,33,CLE,11,4,222,4.4,12.8,.342,1.9,6.3,.308,2.4,6.5,.375,1.3,1.6,.800,0.0,2.9,2.9,3.4,1.8,0.5,1.8,3.1,12.0
612,Jason Smith\smithja02,PF-C,32,TOT,20,1,190,4.0,11.2,.356,1.7,4.9,.346,2.3,6.3,.364,2.7,3.0,.875,3.0,6.8,9.9,2.7,0.6,1.3,2.5,5.7,12.3
613,Jason Smith\smithja02,C,32,WAS,12,1,130,4.2,10.2,.405,1.1,2.8,.400,3.0,7.5,.407,2.8,3.3,.833,3.0,7.2,10.2,3.3,0.3,1.4,1.9,5.8,12.2
614,Jason Smith\smithja02,PF,32,MIL,6,0,40,3.6,11.7,.308,2.7,8.1,.333,0.9,3.6,.250,1.8,1.8,1.000,2.7,7.2,9.9,0.9,1.8,1.8,4.5,5.4,11.7
615,Jason Smith\smithja02,C,32,NOP,2,0,20,3.6,16.2,.222,3.6,12.6,.286,0.0,3.6,.000,3.6,3.6,1.000,3.6,3.6,7.2,1.8,0.0,0.0,1.8,5.4,14.4
616,Zhaire Smith\smithzh01,SG,19,PHI,6,2,111,4.5,11.0,.412,1.9,5.2,.375,2.6,5.8,.444,1.9,2.6,.750,1.0,3.2,4.2,3.2,0.6,0.6,1.9,2.6,13.0
